"ID","name","class","density","brakeTension","yieldTension"
"0","none","","","",""
"1","C10","Steel","7800","500","360"
"2","C40","Steel","7800","690","580"
"3","C60","Steel","7800","850","660"
"4","S235","Steel","7800","360","235"
"5","S275","Steel","7800","410","275"
"6","S355","Steel","7800","450","355"
"7","17NiCr6","Steel","7800","600","295"
"8","39CrNiMo3","Steel","7800","900","700"
"9","42CrMo4","Steel","7800","1000","750"
"10","AISI 304","Stainless steel","7930","515",
"11","AISI 316","Stainless steel","8000","580",
"12","AISI 410","Stainless steel","7700","730",
"13","AISI 420","Stainless steel","7700","800",
"14","AISI 430","Stainless steel","7700","500",
"15","AISI 630","Stainless steel","7800","1200",
"16","AISI 904","Stainless steel","8000","540",
"17","EN AW-1050","Aluminium","2710","100","85"
"18","EN AW-2024","Aluminium","2780","420","280"
"19","EN AW-5083","Aluminium","2660","270","110"
"20","EN AW-5754","Aluminium","2650","190","80"
"21","EN AW-6060","Aluminium","2700","170","140"
"22","EN AW-6061","Aluminium","2700","265","230"
"23","EN AW-6082","Aluminium","2700","270","200"
"24","EN AW-7020","Aluminium","2730","340","275"
"25","EN AW-7075","Aluminium","2810","440","400"
